Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
4.000000000000000000e+00,8.161194120360574242e-04,1.110288591611610088e-06,4.350368907278732685e-04,1.072264354080666719e-06,-3.245634135836061418e+00,2.729879001474769251e-03,-6.413139681575789730e+00,4.946004628372545342e-03
4.099999999999999645e+00,7.902452439018770687e-04,1.056444307806246043e-06,5.137295102677762616e-04,1.020252342690443150e-06,-3.240407162859357371e+00,2.699750125467349077e-03,-6.416394389148928568e+00,4.010976030777137213e-03
4.200000000000000178e+00,7.580628810151052643e-04,1.007154890511664988e-06,6.228102029316073991e-04,9.726226307550686161e-07,-3.252122423547214147e+00,2.680293871679030430e-03,-6.426520055085452654e+00,3.150943549256840764e-03
4.299999999999999822e+00,7.198727011071078983e-04,9.608316667025421133e-07,7.852077195657658102e-04,9.279814938184339831e-07,-3.249258743081069767e+00,2.682511304890827265e-03,-6.445541923914074545e+00,2.374738565779411972e-03
4.299999999999999822e+00,7.217477632173883908e-04,9.612767293536290378e-07,7.873435188984224129e-04,9.283362857157146603e-07,-3.251897429127119210e+00,2.669199584762043612e-03,-6.441723827847601669e+00,2.363221004365389979e-03
4.320000000000000284e+00,7.129761115588987685e-04,9.520256617479483753e-07,8.253579565190927517e-04,9.193983803735044592e-07,-3.245528284278826447e+00,2.707757790642255098e-03,-6.438859934837582344e+00,2.259185394284672979e-03
4.339999999999999858e+00,7.025465102752814122e-04,9.432489369349217054e-07,8.686882845365139806e-04,9.109311913336401343e-07,-3.243454003477009628e+00,2.695285672715460115e-03,-6.441856747519389081e+00,2.105097854692773371e-03
4.360000000000000320e+00,6.938865220045945014e-04,9.349578718933881044e-07,9.201860022962552290e-04,9.029513530846855137e-07,-3.253554144836915185e+00,2.719531239932724588e-03,-6.445171584675271959e+00,1.980334820056909792e-03
4.379999999999999893e+00,6.794925544956091157e-04,9.263946685623380448e-07,9.698419274590568606e-04,8.946216038488003787e-07,-3.243926535856436644e+00,2.747582072384976200e-03,-6.451516687833435348e+00,1.859369950779544761e-03
4.400000000000000355e+00,6.717326523631852531e-04,9.173768615289723088e-07,1.032308724088456739e-03,8.859902440891343818e-07,-3.242806700903539507e+00,2.762592547689826563e-03,-6.454186387498134003e+00,1.735812935431245039e-03
