# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.082000000000000295e-01	5.947159223107818526e-01	2.368046506360969167e-02
-8.081000000000000405e-01	5.984237100025875389e-01	1.247490951800700118e-02
-8.080000000000000515e-01	6.169626484616155260e-01	2.368046506360969167e-02
-8.079000000000000625e-01	5.984237100025875389e-01	3.115083542734482097e-02
-8.078000000000000735e-01	5.947159223107818526e-01	5.356194651855020195e-02
-8.077000000000000846e-01	5.910081346189762774e-01	1.994527988174212701e-02
-8.075999999999999845e-01	5.835925592353651270e-01	1.994527988174212701e-02
-8.074999999999999956e-01	5.984237100025875389e-01	2.741565024547725632e-02
-8.074000000000000066e-01	6.058392853861986893e-01	5.004539154271873611e-03
-8.073000000000000176e-01	5.910081346189762774e-01	-6.201016391330817744e-03
-8.072000000000000286e-01	5.947159223107818526e-01	1.621009469987456583e-02
-8.071000000000000396e-01	5.947159223107818526e-01	1.994527988174212701e-02
-8.070000000000000506e-01	6.392093746124491993e-01	2.741565024547725632e-02
-8.069000000000000616e-01	5.947159223107818526e-01	2.741565024547725632e-02
-8.068000000000000727e-01	5.947159223107818526e-01	1.247490951800700118e-02
-8.067000000000000837e-01	6.132548607698099508e-01	3.115083542734482097e-02
-8.065999999999999837e-01	5.873003469271707022e-01	1.621009469987456583e-02
-8.064999999999999947e-01	6.058392853861986893e-01	8.739724336139436528e-03
-8.064000000000000057e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.063000000000000167e-01	6.169626484616155260e-01	3.488602060921238562e-02
-8.062000000000000277e-01	5.947159223107818526e-01	5.729713170041776660e-02
-8.061000000000000387e-01	5.947159223107818526e-01	3.862120579107995028e-02
-8.060000000000000497e-01	6.021314976943931141e-01	3.115083542734482097e-02
-8.059000000000000608e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.058000000000000718e-01	6.021314976943931141e-01	4.982676133668263729e-02
-8.057000000000000828e-01	6.132548607698099508e-01	1.994527988174212701e-02
-8.056000000000000938e-01	6.058392853861986893e-01	4.235639097294750799e-02
-8.054999999999999938e-01	5.984237100025875389e-01	1.247490951800700118e-02
-8.054000000000000048e-01	5.835925592353651270e-01	2.368046506360969167e-02
-8.053000000000000158e-01	6.058392853861986893e-01	3.488602060921238562e-02
-8.052000000000000268e-01	5.873003469271707022e-01	2.368046506360969167e-02
-8.051000000000000378e-01	6.095470730780042645e-01	2.368046506360969167e-02
-8.050000000000000488e-01	5.910081346189762774e-01	1.994527988174212701e-02
-8.049000000000000599e-01	6.243782238452267874e-01	1.994527988174212701e-02
-8.048000000000000709e-01	6.095470730780042645e-01	4.235639097294750799e-02
-8.047000000000000819e-01	6.021314976943931141e-01	1.994527988174212701e-02
-8.046000000000000929e-01	5.835925592353651270e-01	1.621009469987456583e-02
-8.044999999999999929e-01	6.095470730780042645e-01	3.488602060921238562e-02
-8.044000000000000039e-01	6.058392853861986893e-01	4.235639097294750799e-02
-8.043000000000000149e-01	6.095470730780042645e-01	3.115083542734482097e-02
-8.042000000000000259e-01	5.873003469271707022e-01	1.621009469987456583e-02
-8.041000000000000369e-01	5.984237100025875389e-01	1.247490951800700118e-02
-8.040000000000000480e-01	5.947159223107818526e-01	3.488602060921238562e-02
-8.039000000000000590e-01	5.984237100025875389e-01	4.235639097294750799e-02
-8.038000000000000700e-01	6.021314976943931141e-01	1.994527988174212701e-02
-8.037000000000000810e-01	6.021314976943931141e-01	3.488602060921238562e-02
