Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
2.279999999999999805e+00,5.867874639980623618e-05,3.418921782031192436e-06,2.268300111154095480e-03,3.301092529822600643e-06,-2.864468071943250926e+00,1.182247194225302805e-01,-3.149118904618308790e+00,2.956000726585558940e-03
2.299999999999999822e+00,5.757927305129551459e-05,3.355492896594326129e-06,2.213817687447949996e-03,3.240231407864443305e-06,-2.969495693969300021e+00,1.197303015196415077e-01,-3.149194304035814795e+00,3.008433257000262245e-03
2.299999999999999822e+00,6.856332951719942956e-05,3.356142791277012220e-06,2.212531732295993162e-03,3.242276504211775353e-06,-3.009012009040568092e+00,9.908306113139991878e-02,-3.151446403632670368e+00,2.962871198711233833e-03
2.319999999999999840e+00,5.667979785137007185e-05,3.298859476616785932e-06,2.154837804330156457e-03,3.186299452950031745e-06,-2.919828450121527919e+00,1.181869381993429780e-01,-3.155380124435592570e+00,3.001723702935671454e-03
2.339999999999999858e+00,5.319429355540638898e-05,3.244287626018396934e-06,2.106633955007385355e-03,3.132468474522957573e-06,-2.825670131271383667e+00,1.224895305130129369e-01,-3.154380951409136991e+00,2.990484118143850022e-03
2.359999999999999876e+00,5.300405652165944624e-05,3.192280074105640519e-06,2.051053609105384350e-03,3.083068027659355356e-06,-3.043969712711643183e+00,1.222766581331116847e-01,-3.145168042878793813e+00,3.051279456880806682e-03
2.379999999999999893e+00,5.096124725870444615e-05,3.136939222416503637e-06,2.011396613002751355e-03,3.028454139118725719e-06,-3.048465184561804264e+00,1.248992887929211010e-01,-3.157069320984998484e+00,3.058230359062279798e-03
2.399999999999999911e+00,5.305033178702441097e-05,3.083993815792249971e-06,1.956974421793148799e-03,2.976842386230361455e-06,-3.324606486473873801e+00,1.175831873613332468e-01,-3.162838825207112237e+00,3.081418818113727635e-03
2.399999999999999911e+00,5.713885742934817868e-05,3.084373440468179530e-06,1.961371644852201099e-03,2.978561297868976028e-06,-3.195694314264917679e+00,1.095697159612915167e-01,-3.154080041172186100e+00,3.082675053991790204e-03
2.419999999999999929e+00,5.618672251933776911e-05,3.032137445005487438e-06,1.926959305728284493e-03,2.929053881631424029e-06,-3.227258984879865622e+00,1.096806536960074491e-01,-3.158208614109869750e+00,3.087069520620797786e-03
2.439999999999999947e+00,5.061864833402179284e-05,2.985956045637363055e-06,1.892868685327126887e-03,2.883935703837495414e-06,-3.039657319202238916e+00,1.199970110717863692e-01,-3.158576769847623922e+00,3.097737072118009194e-03
2.459999999999999964e+00,4.654198157390636428e-05,2.937066038796426172e-06,1.845495540879940393e-03,2.836005238366368199e-06,-3.290930176466706492e+00,1.267606535666100931e-01,-3.159869445346407346e+00,3.086621794220363851e-03
2.479999999999999982e+00,4.442657017558712841e-05,2.889473590414753228e-06,1.810655182775857373e-03,2.790113734267563554e-06,-3.050387889227679672e+00,1.318527743248457396e-01,-3.164747523886981995e+00,3.125838000239437083e-03
2.500000000000000000e+00,4.707418474739610278e-05,2.842506530762765947e-06,1.774515955381463124e-03,2.745045018110467086e-06,-3.049399878755797211e+00,1.213051774261696969e-01,-3.155470902435940417e+00,3.108749149339717303e-03
2.500000000000000000e+00,5.204819656159229342e-05,2.843448292126529794e-06,1.778755333321674218e-03,2.745015351633703328e-06,-2.798938205167176729e+00,1.096296087163060456e-01,-3.166468187747735641e+00,3.101722806256121661e-03
2.600000000000000089e+00,4.220161779825955597e-05,2.628961976859585418e-06,1.636603947366785643e-03,2.539439326066286599e-06,-2.865138847919861398e+00,1.256167110801173215e-01,-3.169342573016624698e+00,3.124862596545604967e-03
2.700000000000000178e+00,3.610025841709035556e-05,2.439040367086016900e-06,1.520126858343981294e-03,2.355146965565848626e-06,-3.114228398435150869e+00,1.355552777437245837e-01,-3.172637995263546173e+00,3.109548840436537377e-03
2.799999999999999822e+00,3.456837990929340792e-05,2.267531901429947879e-06,1.431780895345979333e-03,2.190187679254590679e-06,-2.761835077378462344e+00,1.327413514483577472e-01,-3.178851646182203616e+00,3.094950066766821196e-03
